,Unnamed: 0,School Name,Applicants,Admitted,Enrolled,Acceptance Rate,Admission Yield,State
39,,"Southwestern Assemblies of God University  Waxahachie, TX",698,635,305,90.97%,48.03%,TX
40,,"Southwestern University  Georgetown, TX",4551,2048,451,45.00%,22.02%,TX
41,,"St. Mary's University  San Antonio, TX",5350,4013,642,75.01%,16.00%,TX
42,,"Stephen F Austin State University  Nacogdoches, TX",10862,7386,2216,68.00%,30.00%,TX
43,,"Sul Ross State University  Alpine, TX",785,777,342,98.98%,44.02%,TX
44,,"Tarleton State University  Stephenville, TX",10428,5735,2179,55.00%,37.99%,TX
45,,"Texas A & M International University  Laredo, TX",7216,3752,1351,52.00%,36.01%,TX
46,,"Texas A & M University-College Station  College Station, TX",36000,24480,11261,68.00%,46.00%,TX
47,,"Texas A & M University-Commerce  Commerce, TX",10063,3421,1197,34.00%,34.99%,TX
48,,"Texas A & M University-Corpus Christi  Corpus Christi, TX",9053,7876,2048,87.00%,26.00%,TX
49,,"Texas A & M University-Kingsville  Kingsville, TX",7320,6515,1238,89.00%,19.00%,TX
50,,"Texas A&M University-San Antonio  San Antonio, TX",7501,2250,585,30.00%,26.00%,TX
51,,"Texas A&M University-Texarkana  Texarkana, TX",3850,1964,236,51.01%,12.02%,TX
52,,"Texas Christian University  Fort Worth, TX",20156,8264,2231,41.00%,27.00%,TX
53,,"Texas Lutheran University  Seguin, TX",2198,1187,368,54.00%,31.00%,TX
54,,"Texas Southern University  Houston, TX",13776,7852,1649,57.00%,21.00%,TX
55,,"Texas State University  San Marcos, TX",24923,11465,6191,46.00%,54.00%,TX
56,,"Texas Tech University  Lubbock, TX",24452,17361,6250,71.00%,36.00%,TX
57,,"Texas Wesleyan University  Fort Worth, TX",4096,1475,295,36.01%,20.00%,TX
58,,"Texas Woman's University  Denton, TX",5727,4982,1246,86.99%,25.01%,TX
59,,"The King's University  Southlake, TX",110,24,19,21.82%,79.17%,TX
60,,"The University of Texas at Arlington  Arlington, TX",12335,9868,3552,80.00%,36.00%,TX
61,,"The University of Texas at Austin  Austin, TX",50575,19724,9073,39.00%,46.00%,TX
62,,"The University of Texas at Dallas  Richardson, TX",15326,10575,3807,69.00%,36.00%,TX
63,,"The University of Texas at El Paso  El Paso, TX",10456,10456,3450,100.00%,33.00%,TX
64,,"The University of Texas at San Antonio  San Antonio, TX",16918,13365,4945,79.00%,37.00%,TX
65,,"The University of Texas at Tyler  Tyler, TX",3086,2407,915,78.00%,38.01%,TX
66,,"The University of Texas of the Permian Basin  Odessa, TX",779,709,376,91.01%,53.03%,TX
67,,"The University of Texas Rio Grande Valley  Edinburg, TX",11191,9065,4533,81.00%,50.01%,TX
68,,"Trinity University  San Antonio, TX",8654,2942,677,34.00%,23.01%,TX
69,,"University of Dallas  Irving, TX",4846,1890,378,39.00%,20.00%,TX
70,,"University of Houston  Houston, TX",22461,13926,5153,62.00%,37.00%,TX
71,,"University of Houston-Clear Lake  Houston, TX",1197,826,306,69.01%,37.05%,TX
72,,"University of Houston-Downtown  Houston, TX",4416,3665,1063,82.99%,29.00%,TX
73,,"University of Houston-Victoria  Victoria, TX",5531,2987,299,54.00%,10.01%,TX
74,,"University of Mary Hardin-Baylor  Belton, TX",11783,10251,923,87.00%,9.00%,TX
75,,"University of North Texas  Denton, TX",20006,14204,4829,71.00%,34.00%,TX
76,,"University of North Texas at Dallas  Dallas, TX",1670,1386,360,82.99%,25.97%,TX
77,,"University of St Thomas  Houston, TX",1216,997,359,81.99%,36.01%,TX
78,,"University of the Incarnate Word  San Antonio, TX",4894,4307,818,88.01%,18.99%,TX
79,,"Vet Tech Institute of Houston  Houston, TX",84,52,29,61.90%,55.77%,TX
80,,"Wayland Baptist University  Plainview, TX",663,650,312,98.04%,48.00%,TX
81,,"West Coast University-Dallas  Dallas, TX",49,49,16,100.00%,32.65%,TX
82,,"West Texas A & M University  Canyon, TX",5427,3528,1200,65.01%,34.01%,TX
83,,Average,7007,4182,1349,59.68%,32.26%,TX
0,,"AmeriTech College-Draper  Draper, UT",119,81,63,68.07%,77.78%,UT
1,,"AmeriTech College-Provo  Provo, UT",21,17,13,80.95%,76.47%,UT
2,,"Brigham Young University-Provo  Provo, UT",11205,7171,5665,64.00%,79.00%,UT
3,,"Midwives College of Utah  Salt Lake City, UT",7,5,5,71.43%,100.00%,UT
4,,"Neumont College of Computer Science  Salt Lake City, UT",829,696,146,83.96%,20.98%,UT
5,,"Southern Utah University  Cedar City, UT",12435,9824,2063,79.00%,21.00%,UT
6,,"University of Utah  Salt Lake City, UT",23096,15474,4333,67.00%,28.00%,UT
7,,"Utah State University  Logan, UT",15099,13438,4435,89.00%,33.00%,UT
8,,"Westminster College  Salt Lake City, UT",1864,1734,434,93.03%,25.03%,UT
9,,Average,7186,5382,1906,74.90%,35.42%,UT
0,,"Bennington College  Bennington, VT",1494,852,204,57.03%,23.94%,VT
1,,"Castleton University  Castleton, VT",2189,1861,428,85.02%,23.00%,VT
2,,"Champlain College  Burlington, VT",4977,3733,523,75.01%,14.01%,VT
3,,"College of St Joseph  Rutland, VT",442,208,25,47.06%,12.02%,VT
4,,"Goddard College  Plainfield, VT",8,8,5,100.00%,62.50%,VT
5,,"Green Mountain College  Poultney, VT",950,684,116,72.00%,16.96%,VT
6,,"Johnson State College  Johnson, VT",2265,1903,419,84.02%,22.02%,VT
7,,"Landmark College  Putney, VT",360,205,100,56.94%,48.78%,VT
8,,"Marlboro College  Marlboro, VT",156,92,37,58.97%,40.22%,VT
