,Unnamed: 0,School Name,Applicants,Admitted,Enrolled,Acceptance Rate,Admission Yield,State
0,,"Alabama A & M University  Normal, AL",9638,8674,1561,90.00%,18.00%,AL
1,,"Alabama State University  Montgomery, AL",7783,7627,1068,98.00%,14.00%,AL
2,,"Auburn University  Auburn, AL",20742,15557,4823,75.00%,31.00%,AL
3,,"Auburn University at Montgomery  Montgomery, AL",5941,5525,774,93.00%,14.01%,AL
4,,"Birmingham Southern College  Birmingham, AL",3636,2073,332,57.01%,16.02%,AL
5,,"Blue Cliff Career College  Mobile, AL",40,36,32,90.00%,88.89%,AL
6,,"Faulkner University  Montgomery, AL",2671,1389,278,52.00%,20.01%,AL
7,,"Herzing University-Birmingham  Birmingham, AL",80,76,39,95.00%,51.32%,AL
8,,"Huntingdon College  Montgomery, AL",2044,1186,249,58.02%,20.99%,AL
9,,"Jacksonville State University  Jacksonville, AL",6033,3258,1075,54.00%,33.00%,AL
10,,"Judson College  Marion, AL",529,254,69,48.02%,27.17%,AL
11,,"Marion Military Institute  Marion, AL",914,512,230,56.02%,44.92%,AL
12,,"Oakwood University  Huntsville, AL",1706,1126,315,66.00%,27.98%,AL
13,,"Samford University  Birmingham, AL",3884,3185,956,82.00%,30.02%,AL
14,,"Spring Hill College  Mobile, AL",8587,5667,283,66.00%,4.99%,AL
15,,"Stillman College  Tuscaloosa, AL",3265,1273,165,38.99%,12.96%,AL
16,,"The University of Alabama  Tuscaloosa, AL",37302,22008,6602,59.00%,30.00%,AL
17,,"Troy University  Troy, AL",7332,6452,1936,88.00%,30.01%,AL
18,,"Tuskegee University  Tuskegee, AL",11833,6153,554,52.00%,9.00%,AL
19,,"University of Alabama at Birmingham  Birmingham, AL",7845,7217,2309,91.99%,31.99%,AL
20,,"University of Alabama in Huntsville  Huntsville, AL",4543,3680,1435,81.00%,38.99%,AL
21,,"University of Mobile  Mobile, AL",1758,826,256,46.99%,30.99%,AL
22,,"University of Montevallo  Montevallo, AL",3882,1863,484,47.99%,25.98%,AL
23,,"University of North Alabama  Florence, AL",4450,2848,997,64.00%,35.01%,AL
24,,"University of South Alabama  Mobile, AL",6555,5178,1916,78.99%,37.00%,AL
25,,"University of West Alabama  Livingston, AL",8870,3548,426,40.00%,12.01%,AL
26,,Average,6610,4507,1122,68.19%,24.89%,AL
0,,"Alaska Pacific University  Anchorage, AK",419,352,49,84.01%,13.92%,AK
1,,"University of Alaska Anchorage  Anchorage, AK",3745,3033,1607,80.99%,52.98%,AK
2,,"University of Alaska Fairbanks  Fairbanks, AK",1683,1279,742,76.00%,58.01%,AK
3,,"University of Alaska Southeast  Juneau, AK",499,314,217,62.93%,69.11%,AK
4,,Average,1587,1245,654,78.44%,52.53%,AK
0,,"Arizona Christian University  Phoenix, AZ",404,226,156,55.94%,69.03%,AZ
1,,"Arizona State University-Downtown Phoenix  Phoenix, AZ",5763,4668,1447,81.00%,31.00%,AZ
2,,"Arizona State University-Polytechnic  Mesa, AZ",2604,2161,648,82.99%,29.99%,AZ
3,,"Arizona State University-Skysong  Scottsdale, AZ",7481,5087,2391,68.00%,47.00%,AZ
4,,"Arizona State University-Tempe  Tempe, AZ",26869,22839,8907,85.00%,39.00%,AZ
5,,"Arizona State University-West  Glendale, AZ",2610,2140,663,81.99%,30.98%,AZ
6,,"Carrington College-Phoenix North  Phoenix, AZ",143,129,94,90.21%,72.87%,AZ
7,,"Carrington College-Tucson  Tucson, AZ",87,76,57,87.36%,75.00%,AZ
8,,"Chamberlain University-Arizona  Phoenix, AZ",11,3,2,27.27%,66.67%,AZ
9,,"DeVry University-Arizona  Phoenix, AZ",28,27,23,96.43%,85.19%,AZ
10,,"Embry-Riddle Aeronautical University-Prescott  Prescott, AZ",2859,1916,613,67.02%,31.99%,AZ
11,,"Grand Canyon University  Phoenix, AZ",31958,23329,3966,73.00%,17.00%,AZ
12,,"Northern Arizona University  Flagstaff, AZ",36831,30570,5808,83.00%,19.00%,AZ
13,,"Prescott College  Prescott, AZ",248,236,47,95.16%,19.92%,AZ
14,,"University of Advancing Technology  Tempe, AZ",836,694,104,83.01%,14.99%,AZ
15,,"University of Arizona  Tucson, AZ",39941,33550,7717,84.00%,23.00%,AZ
16,,Average,9917,7978,2040,80.45%,25.57%,AZ
0,,"Arkansas State University-Main Campus  Jonesboro, AR",5253,4045,1578,77.00%,39.01%,AR
1,,"Arkansas Tech University  Russellville, AR",5122,4610,1706,90.00%,37.01%,AR
2,,"Baptist Health College-Little Rock  Little Rock, AR",6,4,3,66.67%,75.00%,AR
3,,"Central Baptist College  Conway, AR",433,264,129,60.97%,48.86%,AR
4,,"Ecclesia College  Springdale, AR",109,76,56,69.72%,73.68%,AR
5,,"Harding University  Searcy, AR",1927,1445,867,74.99%,60.00%,AR
6,,"Henderson State University  Arkadelphia, AR",2856,2599,858,91.00%,33.01%,AR
7,,"Hendrix College  Conway, AR",1545,1112,311,71.97%,27.97%,AR
8,,"John Brown University  Siloam Springs, AR",1094,842,320,76.97%,38.00%,AR
9,,"Lyon College  Batesville, AR",1741,871,218,50.03%,25.03%,AR
10,,"Ouachita Baptist University  Arkadelphia, AR",2162,1384,443,64.01%,32.01%,AR
11,,"Southern Arkansas University Main Campus  Magnolia, AR",3552,2451,907,69.00%,37.01%,AR
12,,"University of Arkansas  Fayetteville, AR",18732,14424,5048,77.00%,35.00%,AR
13,,"University of Arkansas at Little Rock  Little Rock, AR",2593,2048,573,78.98%,27.98%,AR
14,,"University of Arkansas at Pine Bluff  Pine Bluff, AR",5508,2424,558,44.01%,23.02%,AR
15,,"University of Arkansas Community College-Morrilton  Morrilton, AR",1234,913,466,73.99%,51.04%,AR
16,,"University of Central Arkansas  Conway, AR",5541,5042,2017,90.99%,40.00%,AR
17,,"University of the Ozarks  Clarksville, AR",1808,940,273,51.99%,29.04%,AR
18,,"Williams Baptist College  Walnut Ridge, AR",775,434,156,56.00%,35.94%,AR
19,,Average,3263,2417,868,74.09%,35.90%,AR
0,,"Alliant International University-San Diego  San Diego, CA",11,11,1,100.00%,9.09%,CA
1,,"American Academy of Dramatic Arts-Los Angeles  Los Angeles, CA",408,322,81,78.92%,25.16%,CA
2,,"American Jewish University  Los Angeles, CA",25,24,6,96.00%,25.00%,CA
3,,"Art Center College of Design  Pasadena, CA",844,574,241,68.01%,41.99%,CA
4,,"Azusa Pacific University  Azusa, CA",9832,6784,1153,69.00%,17.00%,CA
5,,"Beverly Hills Design Institute  Beverly Hills, CA",9,2,1,22.22%,50.00%,CA
6,,"Biola University  La Mirada, CA",3792,2768,858,73.00%,31.00%,CA
7,,"Brandman University  Irvine, CA",96,76,58,79.17%,76.32%,CA
8,,"California Baptist University  Riverside, CA",6595,5276,1636,80.00%,31.01%,CA
9,,"California Christian College  Fresno, CA",1,1,1,100.00%,100.00%,CA
10,,"California College of the Arts  San Francisco, CA",2292,2017,262,88.00%,12.99%,CA
11,,"California Institute of Technology  Pasadena, CA",8208,575,247,7.01%,42.96%,CA
12,,"California Institute of the Arts  Valencia, CA",2333,537,215,23.02%,40.04%,CA
13,,"California Jazz Conservatory  Berkeley, CA",2,2,2,100.00%,100.00%,CA
14,,"California Lutheran University  Thousand Oaks, CA",5752,4084,694,71.00%,16.99%,CA
15,,"California Miramar University  San Diego, CA",41,9,5,21.95%,55.56%,CA
16,,"California Polytechnic State University-San Luis Obispo  San Luis Obispo, CA",54663,16399,4428,30.00%,27.00%,CA
17,,"California State Polytechnic University-Pomona  Pomona, CA",36662,20164,3831,55.00%,19.00%,CA
18,,"California State University Maritime Academy  Vallejo, CA",1117,748,217,66.97%,29.01%,CA
19,,"California State University-Bakersfield  Bakersfield, CA",11455,2635,1502,23.00%,57.00%,CA
20,,"California State University-Channel Islands  Camarillo, CA",11330,8837,972,78.00%,11.00%,CA
21,,"California State University-Chico  Chico, CA",23964,15577,2648,65.00%,17.00%,CA
22,,"California State University-Dominguez Hills  Carson, CA",20235,12950,2072,64.00%,16.00%,CA
23,,"California State University-East Bay  Hayward, CA",16131,11614,1510,72.00%,13.00%,CA
24,,"California State University-Fresno  Fresno, CA",18476,10716,3643,58.00%,34.00%,CA
25,,"California State University-Fullerton  Fullerton, CA",51415,22108,4422,43.00%,20.00%,CA
26,,"California State University-Long Beach  Long Beach, CA",69610,21579,4963,31.00%,23.00%,CA
27,,"California State University-Los Angeles  Los Angeles, CA",39854,16739,3850,42.00%,23.00%,CA
28,,"California State University-Monterey Bay  Seaside, CA",12423,7330,1026,59.00%,14.00%,CA
29,,"California State University-Northridge  Northridge, CA",34856,17777,4800,51.00%,27.00%,CA
30,,"California State University-Sacramento  Sacramento, CA",27108,17349,3817,64.00%,22.00%,CA
31,,"California State University-San Bernardino  San Bernardino, CA",16045,8825,2648,55.00%,30.01%,CA
32,,"California State University-San Marcos  San Marcos, CA",17649,10236,2457,58.00%,24.00%,CA
33,,"California State University-Stanislaus  Turlock, CA",7674,6600,1584,86.00%,24.00%,CA
34,,"Carrington College-Pleasant Hill  Pleasant Hill, CA",64,52,32,81.25%,61.54%,CA
35,,"Carrington College-Sacramento  Sacramento, CA",115,102,79,88.70%,77.45%,CA
36,,"Carrington College-San Jose  San Jose, CA",91,85,60,93.41%,70.59%,CA
37,,"Carrington College-San Leandro  San Leandro, CA",74,68,45,91.89%,66.18%,CA
38,,"Casa Loma College-Van Nuys  Van Nuys, CA",23,21,19,91.30%,90.48%,CA
39,,"Central Coast College  Salinas, CA",162,156,115,96.30%,73.72%,CA
40,,"Chapman University  Orange, CA",14198,7667,1687,54.00%,22.00%,CA
41,,"Charles R Drew University of Medicine and Science  Los Angeles, CA",373,138,26,37.00%,18.84%,CA
42,,"Claremont McKenna College  Claremont, CA",6272,564,316,8.99%,56.03%,CA
43,,"Cogswell College  San Jose, CA",413,240,98,58.11%,40.83%,CA
44,,"Concorde Career College-Garden Grove  Garden Grove, CA",709,688,200,97.04%,29.07%,CA
45,,"Concorde Career College-North Hollywood  North Hollywood, CA",656,551,149,83.99%,27.04%,CA
46,,"Concorde Career College-San Bernardino  San Bernardino, CA",572,458,156,80.07%,34.06%,CA
47,,"Concorde Career College-San Diego  San Diego, CA",439,399,192,90.89%,48.12%,CA
48,,"Concordia University-Irvine  Irvine, CA",3995,2477,322,62.00%,13.00%,CA
49,,"Design Institute of San Diego  San Diego, CA",17,10,7,58.82%,70.00%,CA
50,,"DeVry University-California  Pomona, CA",78,74,60,94.87%,81.08%,CA
51,,"Dominican University of California  San Rafael, CA",1909,1661,282,87.01%,16.98%,CA
52,,"FIDM-Fashion Institute of Design & Merchandising-Los Angeles  Los Angeles, CA",1371,713,435,52.01%,61.01%,CA
53,,"FIDM-Fashion Institute of Design & Merchandising-Orange County  Irvine, CA",123,82,45,66.67%,54.88%,CA
54,,"FIDM-Fashion Institute of Design & Merchandising-San Diego  San Diego, CA",104,61,36,58.65%,59.02%,CA
55,,"FIDM-Fashion Institute of Design & Merchandising-San Francisco  San Francisco, CA",130,60,29,46.15%,48.33%,CA
56,,"Fresno Pacific University  Fresno, CA",1034,879,229,85.01%,26.05%,CA
57,,"Galaxy Medical College  North Hollywood, CA",61,61,48,100.00%,78.69%,CA
58,,"Gnomon School of Visual Effects  Hollywood, CA",19,7,7,36.84%,100.00%,CA
59,,"Grace Mission University  Fullerton, CA",105,95,2,90.48%,2.11%,CA
60,,"Harvey Mudd College  Claremont, CA",4101,574,224,14.00%,39.02%,CA
61,,"Holy Names University  Oakland, CA",2076,1453,174,69.99%,11.98%,CA
62,,"Hope International University  Fullerton, CA",584,169,91,28.94%,53.85%,CA
63,,"Humboldt State University  Arcata, CA",10957,8437,1012,77.00%,11.99%,CA
64,,"Hussian College-Relativity Campus California  Los Angeles, CA",250,215,108,86.00%,50.23%,CA
65,,"John Paul the Great Catholic University  Escondido, CA",220,198,85,90.00%,42.93%,CA
66,,"La Sierra University  Riverside, CA",4275,2009,362,46.99%,18.02%,CA
67,,"Laguna College of Art and Design  Laguna Beach, CA",367,297,116,80.93%,39.06%,CA
68,,"Life Pacific College  San Dimas, CA",162,156,101,96.30%,64.74%,CA
69,,"Loyola Marymount University  Los Angeles, CA",17846,8388,1510,47.00%,18.00%,CA
70,,"Lytles Redwood Empire Beauty College Inc  Santa Rosa, CA",21,21,21,100.00%,100.00%,CA
71,,"Menlo College  Atherton, CA",2168,976,156,45.02%,15.98%,CA
72,,"Mills College  Oakland, CA",1003,863,164,86.04%,19.00%,CA
73,,"Mount Saint Mary's University  Los Angeles, CA",2169,1822,401,84.00%,22.01%,CA
74,,"Mt Sierra College  Monrovia, CA",5,4,4,80.00%,100.00%,CA
75,,"MTI College  Sacramento, CA",84,66,63,78.57%,95.45%,CA
76,,"Musicians Institute  Hollywood, CA",427,325,198,76.11%,60.92%,CA
77,,"Newschool of Architecture and Design  San Diego, CA",67,67,22,100.00%,32.84%,CA
78,,"North-West College-West Covina  West Covina, CA",178,178,139,100.00%,78.09%,CA
79,,"Notre Dame de Namur University  Belmont, CA",2062,1691,186,82.01%,11.00%,CA
80,,"Occidental College  Los Angeles, CA",7281,2694,566,37.00%,21.01%,CA
81,,"Otis College of Art and Design  Los Angeles, CA",1806,1698,272,94.02%,16.02%,CA
82,,"Pacific College  Costa Mesa, CA",20,12,8,60.00%,66.67%,CA
83,,"Pacific Oaks College  Pasadena, CA",475,147,24,30.95%,16.33%,CA
84,,"Pacific Union College  Angwin, CA",1790,877,158,48.99%,18.02%,CA
85,,"Pepperdine University  Malibu, CA",11265,4055,811,36.00%,20.00%,CA
86,,"Pitzer College  Claremont, CA",4358,567,266,13.01%,46.91%,CA
87,,"Point Loma Nazarene University  San Diego, CA",3473,2396,647,68.99%,27.00%,CA
88,,"Pomona College  Claremont, CA",10245,820,435,8.00%,53.05%,CA
89,,"Providence Christian College  Pasadena, CA",149,131,35,87.92%,26.72%,CA
90,,"Saint Mary's College of California  Moraga, CA",5787,4456,624,77.00%,14.00%,CA
91,,"San Diego Christian College  Santee, CA",464,278,75,59.91%,26.98%,CA
92,,"San Diego Culinary Institute  La Mesa, CA",62,43,28,69.35%,65.12%,CA
93,,"San Diego State University  San Diego, CA",69399,24290,5830,35.00%,24.00%,CA
94,,"San Francisco Art Institute  San Francisco, CA",351,333,53,94.87%,15.92%,CA
95,,"San Francisco Conservatory of Music  San Francisco, CA",491,221,60,45.01%,27.15%,CA
96,,"San Francisco State University  San Francisco, CA",35606,25636,4358,72.00%,17.00%,CA
97,,"San Jose State University  San Jose, CA",36243,19934,3787,55.00%,19.00%,CA
98,,"Santa Clara University  Santa Clara, CA",16242,8121,1381,50.00%,17.01%,CA
99,,"Scripps College  Claremont, CA",3160,758,250,23.99%,32.98%,CA
100,,"Shasta Bible College and Graduate School  Redding, CA",7,7,6,100.00%,85.71%,CA
101,,"Simpson University  Redding, CA",488,244,85,50.00%,34.84%,CA
102,,"Soka University of America  Aliso Viejo, CA",462,180,112,38.96%,62.22%,CA
103,,"Sonoma State University  Rohnert Park, CA",14478,13030,1824,90.00%,14.00%,CA
104,,"Southern California Institute of Technology  Anaheim, CA",166,100,91,60.24%,91.00%,CA
105,,"Southern States University  San Diego, CA",15,14,11,93.33%,78.57%,CA
106,,"Stanbridge University  Irvine, CA",914,484,281,52.95%,58.06%,CA
107,,"Stanford University  Stanford, CA",47452,1898,1556,4.00%,81.98%,CA
108,,"SUM Bible College and Theological Seminary  El Dorado Hills, CA",147,97,95,65.99%,97.94%,CA
109,,"The Chicago School of Professional Psychology at Los Angeles  Los Angeles, CA",310,105,24,33.87%,22.86%,CA
110,,"The Master's University and Seminary  Santa Clarita, CA",718,553,271,77.02%,49.01%,CA
111,,"Theatre of Arts  Hollywood, CA",68,22,6,32.35%,27.27%,CA
112,,"Thomas Aquinas College  Santa Paula, CA",211,165,122,78.20%,73.94%,CA
113,,"Trident University International  Cypress, CA",232,160,154,68.97%,96.25%,CA
114,,"University of California-Berkeley  Berkeley, CA",89607,13441,6048,15.00%,45.00%,CA
115,,"University of California-Davis  Davis, CA",78022,31989,6398,41.00%,20.00%,CA
116,,"University of California-Irvine  Irvine, CA",95059,27567,5789,29.00%,21.00%,CA
117,,"University of California-Los Angeles  Los Angeles, CA",113754,15926,6211,14.00%,39.00%,CA
118,,"University of California-Merced  Merced, CA",25131,16586,2156,66.00%,13.00%,CA
119,,"University of California-Riverside  Riverside, CA",49079,25030,4505,51.00%,18.00%,CA
120,,"University of California-San Diego  La Jolla, CA",97894,29368,6755,30.00%,23.00%,CA
121,,"University of California-Santa Barbara  Santa Barbara, CA",92306,29538,5021,32.00%,17.00%,CA
122,,"University of California-Santa Cruz  Santa Cruz, CA",56586,26595,3723,47.00%,14.00%,CA
123,,"University of La Verne  La Verne, CA",7276,3711,668,51.00%,18.00%,CA
124,,"University of Redlands  Redlands, CA",4713,3535,742,75.01%,20.99%,CA
125,,"University of San Diego  San Diego, CA",13287,7042,1338,53.00%,19.00%,CA
126,,"University of San Francisco  San Francisco, CA",18411,11967,1556,65.00%,13.00%,CA
127,,"University of Southern California  Los Angeles, CA",64352,8366,3430,13.00%,41.00%,CA
128,,"University of the Pacific  Stockton, CA",13545,8533,939,63.00%,11.00%,CA
129,,"Vanguard University of Southern California  Costa Mesa, CA",4414,1766,459,40.01%,25.99%,CA
130,,"West Coast University-Los Angeles  North Hollywood, CA",39,36,18,92.31%,50.00%,CA
131,,"West Coast University-Ontario  Ontario, CA",42,37,21,88.10%,56.76%,CA
132,,"West Coast University-Orange County  Anaheim, CA",43,41,17,95.35%,41.46%,CA
133,,"Westcliff University  Irvine, CA",249,174,104,69.88%,59.77%,CA
134,,"Westmont College  Santa Barbara, CA",2937,1821,346,62.00%,19.00%,CA
135,,"Whittier College  Whittier, CA",6220,4727,520,76.00%,11.00%,CA
136,,"William Jessup University  Rocklin, CA",897,529,212,58.97%,40.08%,CA
137,,"Woodbury University  Burbank, CA",2120,1399,182,65.99%,13.01%,CA
138,,"Yeshiva Ohr Elchonon Chabad West Coast Talmudical Seminary  Los Angeles, CA",97,69,62,71.13%,89.86%,CA
139,,Average,12255,4898,1059,39.97%,21.62%,CA
0,,"Adams State University  Alamosa, CO",1698,1681,454,99.00%,27.01%,CO
1,,"Bel-Rea Institute of Animal Technology  Denver, CO",265,64,61,24.15%,95.31%,CO
2,,"Colorado Academy of Veterinary Technology  Colorado Springs, CO",12,11,11,91.67%,100.00%,CO
3,,"Colorado College  Colorado Springs, CO",8552,1283,539,15.00%,42.01%,CO
4,,"Colorado Mesa University  Grand Junction, CO",7163,5802,2031,81.00%,35.01%,CO
5,,"Colorado School of Mines  Golden, CO",12661,6204,1179,49.00%,19.00%,CO
6,,"Colorado School of Trades  Lakewood, CO",64,62,49,96.88%,79.03%,CO
7,,"Colorado State University-Fort Collins  Fort Collins, CO",24496,20577,5350,84.00%,26.00%,CO
8,,"Colorado State University-Pueblo  Pueblo, CO",2435,2313,694,94.99%,30.00%,CO
9,,"Concorde Career College-Aurora  Aurora, CO",462,337,158,72.94%,46.88%,CO
10,,"DeVry University-Colorado  Westminster, CO",8,7,7,87.50%,100.00%,CO
11,,"Fort Lewis College  Durango, CO",4198,3820,764,91.00%,20.00%,CO
12,,"Johnson & Wales University-Denver  Denver, CO",2894,2518,302,87.01%,11.99%,CO
13,,"Metropolitan State University of Denver  Denver, CO",13454,7938,2381,59.00%,29.99%,CO
14,,"Montessori Education Center of the Rockies  Boulder, CO",16,15,12,93.75%,80.00%,CO
15,,"Naropa University  Boulder, CO",129,126,30,97.67%,23.81%,CO
16,,"Platt College-Aurora  Aurora, CO",9,2,2,22.22%,100.00%,CO
17,,"Regis University  Denver, CO",7297,4378,525,60.00%,11.99%,CO
18,,"Rolf Institute of Structural Integration  Boulder, CO",3,3,3,100.00%,100.00%,CO
19,,"United States Air Force Academy  USAF Academy, CO",10376,1141,1118,11.00%,97.98%,CO
20,,"University of Colorado Boulder  Boulder, CO",36604,30015,6603,82.00%,22.00%,CO
21,,"University of Colorado Colorado Springs  Colorado Springs, CO",10116,9206,2025,91.00%,22.00%,CO
22,,"University of Colorado Denver/Anschutz Medical Campus  Denver, CO",11315,7242,1738,64.00%,24.00%,CO
23,,"University of Denver  Denver, CO",20475,11466,1491,56.00%,13.00%,CO
24,,"University of Northern Colorado  Greeley, CO",8294,7548,1962,91.01%,25.99%,CO
25,,"Western State Colorado University  Gunnison, CO",1975,1758,510,89.01%,29.01%,CO
26,,Average,7114,4828,1154,67.86%,23.90%,CO
0,,"Albertus Magnus College  New Haven, CT",1388,805,161,58.00%,20.00%,CT
1,,"Central Connecticut State University  New Britain, CT",7903,5295,1483,67.00%,28.01%,CT
2,,"Connecticut College  New London, CT",6433,2445,513,38.01%,20.98%,CT
3,,"Eastern Connecticut State University  Willimantic, CT",5580,3683,994,66.00%,26.99%,CT
4,,"Fairfield University  Fairfield, CT",11361,6817,1091,60.00%,16.00%,CT
5,,"Mitchell College  New London, CT",1196,993,149,83.03%,15.01%,CT
6,,"Post University  Waterbury, CT",6425,3405,715,53.00%,21.00%,CT
7,,"Quinnipiac University  Hamden, CT",22757,16385,1966,72.00%,12.00%,CT
8,,"Sacred Heart University  Fairfield, CT",10742,6445,1482,60.00%,22.99%,CT
9,,"Southern Connecticut State University  New Haven, CT",8983,5929,1542,66.00%,26.01%,CT
10,,"Trinity College  Hartford, CT",6096,2073,580,34.01%,27.98%,CT
11,,"United States Coast Guard Academy  New London, CT",2045,389,276,19.02%,70.95%,CT
12,,"University of Bridgeport  Bridgeport, CT",7404,4220,506,57.00%,11.99%,CT
13,,"University of Connecticut  Storrs, CT",34886,17094,3761,49.00%,22.00%,CT
14,,"University of Connecticut-Avery Point  Groton, CT",959,882,203,91.97%,23.02%,CT
15,,"University of Connecticut-Hartford Campus  Hartford, CT",2044,1942,621,95.01%,31.98%,CT
16,,"University of Connecticut-Stamford  Stamford, CT",4004,3123,656,78.00%,21.01%,CT
17,,"University of Connecticut-Waterbury Campus  Waterbury, CT",1498,1453,320,97.00%,22.02%,CT
18,,"University of Hartford  West Hartford, CT",15166,10768,1184,71.00%,11.00%,CT
19,,"University of New Haven  West Haven, CT",10426,8758,1314,84.00%,15.00%,CT
20,,"University of Saint Joseph  West Hartford, CT",1414,1018,224,71.99%,22.00%,CT
21,,"Wesleyan University  Middletown, CT",12706,2160,778,17.00%,36.02%,CT
22,,"Western Connecticut State University  Danbury, CT",5375,4246,892,79.00%,21.01%,CT
23,,"Yale University  New Haven, CT",35301,2118,1483,6.00%,70.02%,CT
24,,Average,9254,4685,954,50.63%,20.36%,CT
0,,"American University  Washington, DC",18984,6075,1762,32.00%,29.00%,DC
1,,"Catholic University of America  Washington, DC",6096,5121,819,84.01%,15.99%,DC
2,,"Gallaudet University  Washington, DC",496,283,201,57.06%,71.02%,DC
3,,"George Washington University  Washington, DC",26512,11135,2895,42.00%,26.00%,DC
4,,"Georgetown University  Washington, DC",22872,3431,1681,15.00%,48.99%,DC
5,,"Howard University  Washington, DC",20946,6703,1542,32.00%,23.00%,DC
6,,"National Conservatory of Dramatic Arts  Washington, DC",5,4,4,80.00%,100.00%,DC
7,,"Trinity Washington University  Washington, DC",778,739,222,94.99%,30.04%,DC
8,,Average,12086,4186,1141,34.64%,27.25%,DC
0,,"Delaware College of Art and Design  Wilmington, DE",188,143,59,76.06%,41.26%,DE
1,,"Delaware State University  Dover, DE",7000,3430,1029,49.00%,30.00%,DE
2,,"Goldey-Beacom College  Wilmington, DE",898,476,138,53.01%,28.99%,DE
3,,"University of Delaware  Newark, DE",27691,18276,4752,66.00%,26.00%,DE
4,,"Wesley College  Dover, DE",2960,1835,275,61.99%,14.99%,DE
5,,Average,7747,4832,1251,62.37%,25.88%,DE
0,,"Adventist University of Health Sciences  Orlando, FL",267,232,95,86.89%,40.95%,FL
1,,"Ave Maria University  Ave Maria, FL",1378,1144,332,83.02%,29.02%,FL
2,,"Barry University  Miami, FL",5255,4782,622,91.00%,13.01%,FL
3,,"Beacon College  Leesburg, FL",266,136,91,51.13%,66.91%,FL
4,,"Carlos Albizu University-Miami  Miami, FL",18,9,6,50.00%,66.67%,FL
5,,"Chamberlain University-Florida  Jacksonville, FL",14,11,10,78.57%,90.91%,FL
6,,"Concorde Career Institute-Jacksonville  Jacksonville, FL",624,449,180,71.96%,40.09%,FL
7,,"Concorde Career Institute-Miramar  Miramar, FL",480,360,122,75.00%,33.89%,FL
8,,"Concorde Career Institute-Orlando  Orlando, FL",239,172,84,71.97%,48.84%,FL
9,,"Concorde Career Institute-Tampa  Tampa, FL",246,224,137,91.06%,61.16%,FL
10,,"DeVry University-Florida  Miramar, FL",21,20,18,95.24%,90.00%,FL
11,,"Eckerd College  Saint Petersburg, FL",4830,3284,591,67.99%,18.00%,FL
12,,"Edward Waters College  Jacksonville, FL",3617,2026,324,56.01%,15.99%,FL
13,,"Embry-Riddle Aeronautical University-Daytona Beach  Daytona Beach, FL",6017,3911,1408,65.00%,36.00%,FL
14,,"Embry-Riddle Aeronautical University-Worldwide  Daytona Beach, FL",1608,1013,577,63.00%,56.96%,FL
15,,"Everglades University  Boca Raton, FL",1439,993,586,69.01%,59.01%,FL
16,,"Flagler College-St Augustine  Saint Augustine, FL",4858,2769,665,57.00%,24.02%,FL
17,,"Florida Agricultural and Mechanical University  Tallahassee, FL",8976,3501,1365,39.00%,38.99%,FL
18,,"Florida Atlantic University  Boca Raton, FL",17120,10101,3131,59.00%,31.00%,FL
19,,"Florida College  Temple Terrace, FL",331,245,206,74.02%,84.08%,FL
20,,"Florida Gulf Coast University  Fort Myers, FL",14702,9556,2867,65.00%,30.00%,FL
21,,"Florida Institute of Technology  Melbourne, FL",9313,6053,787,65.00%,13.00%,FL
22,,"Florida International Training Institute  Miami, FL",48,37,20,77.08%,54.05%,FL
23,,"Florida International University  Miami, FL",19410,11452,4466,59.00%,39.00%,FL
24,,"Florida Memorial University  Miami Gardens, FL",5200,1716,343,33.00%,19.99%,FL
25,,"Florida Polytechnic University  Lakeland, FL",1437,733,315,51.01%,42.97%,FL
26,,"Florida Southern College  Lakeland, FL",7254,3627,689,50.00%,19.00%,FL
27,,"Florida State University  Tallahassee, FL",50314,18616,6329,37.00%,34.00%,FL
28,,"Health Career Institute  West Palm Beach, FL",11,9,9,81.82%,100.00%,FL
29,,"Herzing University-Winter Park  Winter Park, FL",68,64,42,94.12%,65.63%,FL
30,,"Hodges University  Naples, FL",290,223,103,76.90%,46.19%,FL
31,,"Jacksonville University  Jacksonville, FL",4298,3868,619,90.00%,16.00%,FL
32,,"Johnson & Wales University-North Miami  North Miami, FL",4563,3833,383,84.00%,9.99%,FL
33,,"Johnson University Florida  Kissimmee, FL",133,86,59,64.66%,68.60%,FL
34,,"Lynn University  Boca Raton, FL",7577,5304,636,70.00%,11.99%,FL
35,,"Medical Prep Institute of Tampa Bay  Tampa, FL",533,267,158,50.09%,59.18%,FL
36,,"Mercy Hospital School of Practical Nursing-Plantation General Hospital  Miami, FL",3,2,2,66.67%,100.00%,FL
37,,"New College of Florida  Sarasota, FL",1340,1032,196,77.01%,18.99%,FL
38,,"Nova Southeastern University  Fort Lauderdale, FL",8946,7067,1272,79.00%,18.00%,FL
39,,"Palm Beach Atlantic University  West Palm Beach, FL",1444,1372,521,95.01%,37.97%,FL
40,,"Ringling College of Art and Design  Sarasota, FL",2306,1545,433,67.00%,28.03%,FL
41,,"Rollins College  Winter Park, FL",5455,3655,548,67.00%,14.99%,FL
42,,"SABER College  Miami, FL",19,14,14,73.68%,100.00%,FL
43,,"Saint John Vianney College Seminary  Miami, FL",10,10,8,100.00%,80.00%,FL
44,,"Saint Leo University  Saint Leo, FL",4904,2942,559,59.99%,19.00%,FL
45,,"Southeastern University  Lakeland, FL",4955,2378,1451,47.99%,61.02%,FL
